Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;06;17;05;00;23.14;85.00;1011.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.77;356.42;9.36;360.00;18.06;85.43;5.76
2019;06;17;06;00;24.24;87.00;1012.00;0.00;0.00;0.00;0.00;6.30;21.00;0.00;0.00;32.81;18.69;7.59;354.56;8.71;7.13;14.40;90.00;8.28
2019;06;17;07;00;25.96;79.00;1012.30;0.00;0.00;0.00;0.00;5.70;19.00;0.00;0.00;55.98;194.02;9.79;17.10;10.24;10.12;8.94;40.10;7.92
2019;06;17;08;00;27.20;73.00;1012.30;0.00;0.00;0.00;0.00;5.00;16.00;0.00;5.00;56.36;391.60;11.11;24.90;11.87;14.04;13.25;47.20;9.72
2019;06;17;09;00;28.31;68.00;1012.10;0.00;0.00;0.00;0.00;2.10;7.00;0.00;2.00;56.81;572.27;9.22;38.66;9.18;25.56;12.48;56.77;11.16
2019;06;17;10;00;29.37;65.00;1011.60;0.00;0.00;0.00;0.00;10.00;2.00;0.00;10.00;58.66;727.13;7.59;58.57;7.42;50.91;9.69;58.67;11.16
2019;06;17;11;00;30.08;61.00;1011.30;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;798.33;7.20;90.00;7.24;84.29;7.77;76.61;12.96
2019;06;17;12;00;30.61;59.00;1010.70;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;854.40;6.99;101.89;7.93;92.60;7.93;87.40;14.04
2019;06;17;13;00;31.04;56.00;1010.00;0.00;0.00;0.00;0.00;10.00;1.00;0.00;10.00;53.62;841.94;7.90;114.23;8.83;101.77;9.75;94.24;15.12
2019;06;17;14;00;31.12;56.00;1009.40;0.00;0.00;0.00;0.00;10.00;1.00;0.00;10.00;53.62;792.10;7.41;119.05;9.00;106.26;10.50;95.91;15.48
2019;06;17;15;00;31.04;56.00;1009.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;679.07;7.24;116.57;9.61;102.99;11.88;90.00;14.04
2019;06;17;16;00;30.71;58.00;1008.60;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;529.55;7.59;121.43;10.25;108.43;13.32;90.00;14.04
2019;06;17;17;00;29.56;68.00;1009.30;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;346.21;7.29;147.09;9.29;125.54;15.55;84.69;14.40
2019;06;17;18;00;27.56;85.00;1010.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;53.62;152.19;4.38;189.46;4.74;171.25;16.42;74.74;17.28
2019;06;17;19;00;25.93;87.00;1010.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.16;8.90;4.38;260.54;5.51;258.69;9.75;85.76;15.12
2019;06;17;20;00;26.25;78.00;1010.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.60;326.31;2.55;351.87;16.26;84.92;7.92
2019;06;17;21;00;26.14;74.00;1011.00;0.00;0.10;0.00;0.00;2.00;0.00;0.00;2.00;0.00;0.00;5.05;355.91;5.94;14.04;20.96;85.07;7.56
2019;06;17;22;00;25.92;73.00;1011.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.13;356.63;8.35;7.43;24.14;87.44;16.56
2019;06;17;23;00;25.93;72.00;1011.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.86;349.38;9.03;355.43;25.56;90.00;14.76
2019;06;18;00;00;25.96;71.00;1011.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.94;345.96;8.65;357.61;26.28;90.78;11.88
2019;06;18;01;00;25.62;71.00;1011.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.13;3.37;8.56;22.25;27.74;92.23;12.24
2019;06;18;02;00;25.20;74.00;1010.80;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;7.17;17.53;10.51;38.05;28.10;92.20;12.96
2019;06;18;03;00;24.82;77.00;1010.70;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;7.42;14.04;9.09;33.69;24.15;100.30;13.32
2019;06;18;04;00;24.41;83.00;1010.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.48;360.00;6.03;17.35;18.20;114.54;11.88
2019;06;18;05;00;24.25;86.00;1011.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.38;343.61;4.33;355.24;15.68;99.25;9.72
2019;06;18;06;00;24.96;87.00;1011.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32.62;18.69;5.15;335.22;3.55;336.04;22.37;93.69;8.64
2019;06;18;07;00;26.41;77.00;1011.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;191.35;12.31;15.26;13.44;7.70;12.29;58.17;12.24
2019;06;18;08;00;27.80;68.00;1012.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;395.16;13.10;15.95;14.44;4.29;14.97;62.82;12.96
2019;06;18;09;00;28.99;63.00;1012.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;583.84;11.17;20.77;11.37;10.95;14.69;72.90;14.04
2019;06;18;10;00;30.03;60.00;1011.60;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;60.00;741.37;8.16;41.42;7.99;35.84;11.50;69.86;13.32
2019;06;18;11;00;30.68;57.00;1011.20;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;798.33;7.42;75.96;7.86;74.05;10.59;72.18;16.56
2019;06;18;12;00;31.27;54.00;1010.90;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;868.64;9.39;94.40;10.80;90.00;12.65;85.10;14.76
2019;06;18;13;00;31.59;54.00;1010.40;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;869.53;8.31;94.97;10.46;86.05;11.61;82.87;14.04
2019;06;18;14;00;31.81;53.00;1009.60;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;796.55;8.29;92.49;10.90;82.41;12.22;76.37;14.04
2019;06;18;15;00;31.70;54.00;1009.10;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;684.41;6.88;96.01;9.89;79.51;11.63;68.20;12.24
2019;06;18;16;00;30.98;61.00;1008.80;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;526.88;5.80;119.74;8.35;97.43;11.28;73.30;13.32
2019;06;18;17;00;29.47;73.00;1009.60;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;344.43;5.96;154.98;7.79;123.69;13.98;78.11;15.48
2019;06;18;18;00;28.02;84.00;1009.90;0.00;0.00;0.00;0.00;0.60;2.00;0.00;0.00;53.62;166.43;3.96;180.00;4.84;131.99;17.19;70.43;9.36
2019;06;18;19;00;26.21;88.00;1010.20;0.00;0.00;0.00;0.00;1.50;5.00;0.00;0.00;25.24;10.68;5.12;230.71;6.92;242.10;9.42;46.55;9.00
2019;06;18;20;00;26.27;83.00;1010.60;0.00;0.00;0.00;0.00;1.20;4.00;0.00;0.00;0.00;0.00;2.90;262.87;3.60;270.00;14.84;67.17;6.84
2019;06;18;21;00;26.42;77.00;1011.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.55;336.04;4.02;10.30;17.90;74.85;9.36
2019;06;18;22;00;26.62;74.00;1011.50;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;4.68;360.00;5.63;26.57;19.56;83.66;5.76
2019;06;18;23;00;26.82;71.00;1011.20;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;6.12;360.00;9.36;360.00;19.49;78.27;6.84
2019;06;19;00;00;27.22;71.00;1011.40;0.40;0.00;0.00;0.00;95.00;0.00;95.00;95.00;0.00;0.00;6.92;8.97;12.61;1.64;20.52;74.74;12.60
2019;06;19;01;00;27.03;74.00;1011.30;0.60;0.00;0.00;0.00;86.00;0.00;86.00;86.00;0.00;0.00;7.70;10.78;14.24;16.14;23.02;80.10;14.40
2019;06;19;02;00;26.46;79.00;1011.20;0.60;0.50;0.00;0.00;95.00;0.00;95.00;95.00;0.00;0.00;7.52;16.70;13.10;20.92;24.97;84.21;13.32
2019;06;19;03;00;25.82;81.00;1010.90;0.00;0.40;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;5.69;18.43;7.09;23.96;22.68;90.00;14.04
2019;06;19;04;00;25.33;83.00;1010.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.80;7.13;5.24;15.95;19.83;93.12;11.52
2019;06;19;05;00;25.21;82.00;1011.30;0.00;0.00;0.00;0.00;1.20;4.00;0.00;0.00;0.00;0.00;6.12;360.00;5.05;4.09;16.24;86.19;10.80
2019;06;19;06;00;25.63;86.00;1011.80;0.00;0.00;0.00;0.00;0.60;2.00;0.00;0.00;32.01;18.69;5.40;360.00;6.12;360.00;13.21;72.55;11.52
2019;06;19;07;00;26.91;77.00;1011.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;59.62;189.57;10.31;12.09;10.85;5.71;7.39;46.97;12.60
2019;06;19;08;00;28.20;69.00;1011.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;392.49;11.38;18.43;11.97;6.91;8.91;43.36;11.16
2019;06;19;09;00;29.36;65.00;1012.10;0.00;0.20;0.00;0.00;7.00;0.00;0.00;7.00;60.00;565.15;9.69;31.33;9.90;19.09;8.67;48.37;11.16
2019;06;19;10;00;30.24;61.00;1011.80;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;55.53;690.64;8.67;41.63;9.09;33.69;10.30;36.47;14.04
2019;06;19;11;00;31.00;58.00;1011.30;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;793.88;8.44;50.19;9.42;46.55;10.97;48.99;18.36
2019;06;19;12;00;31.54;55.00;1010.60;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;847.28;10.00;59.74;10.99;58.39;12.10;59.62;20.52
2019;06;19;13;00;31.74;54.00;1010.10;0.00;0.30;0.00;0.00;10.00;0.00;0.00;10.00;53.62;842.83;10.31;77.91;11.18;75.07;12.31;74.74;21.60
2019;06;19;14;00;31.02;57.00;1009.60;0.00;0.00;0.00;0.00;70.00;70.00;70.00;70.00;53.62;744.93;9.36;90.00;11.16;90.00;12.24;90.00;17.28
2019;06;19;15;00;30.37;71.00;1009.40;0.50;0.20;0.00;0.00;84.00;90.00;84.00;84.00;15.32;174.44;0.72;360.00;5.63;63.43;9.35;74.36;8.64
2019;06;19;16;00;28.89;81.00;1009.10;0.40;0.00;0.00;0.00;94.00;94.00;94.00;94.00;6.38;103.24;3.89;303.69;6.13;40.24;11.77;66.57;11.88
2019;06;19;17;00;28.75;75.00;1009.40;0.00;0.00;0.00;0.00;30.00;100.00;0.00;10.00;0.00;183.34;3.67;11.31;12.31;37.87;17.91;59.83;15.48
2019;06;19;18;00;27.91;76.00;1009.70;0.00;0.00;0.00;0.00;22.50;75.00;0.00;0.00;40.85;161.98;0.36;90.00;7.42;50.91;18.86;76.76;7.92
2019;06;19;19;00;26.26;85.00;1010.00;0.00;0.00;0.00;0.00;75.00;26.00;75.00;0.00;19.50;11.57;5.69;235.30;9.39;237.53;6.38;106.39;8.64
2019;06;19;20;00;25.57;89.00;1010.20;0.00;0.00;0.00;0.00;5.00;11.00;1.00;5.00;0.00;0.00;4.20;239.04;5.15;245.22;14.41;102.99;7.20
2019;06;19;21;00;26.05;84.00;1010.80;0.20;0.00;0.00;0.00;68.00;66.00;68.00;68.00;0.00;0.00;2.28;341.57;2.88;360.00;21.08;97.85;15.84
2019;06;19;22;00;26.42;78.00;1011.20;0.20;0.00;0.00;0.00;66.00;3.00;66.00;66.00;0.00;0.00;4.51;28.61;6.61;60.64;33.51;92.46;8.28
2019;06;19;23;00;26.05;79.00;1011.60;0.00;0.00;0.00;0.00;10.00;4.00;2.00;10.00;0.00;0.00;4.84;41.99;5.62;39.81;32.42;91.91;16.92
2019;06;20;00;00;25.76;80.00;1011.60;0.00;0.00;0.00;0.00;10.00;4.00;10.00;10.00;0.00;0.00;6.13;40.24;9.79;72.90;24.84;90.83;16.92
2019;06;20;01;00;25.44;86.00;1011.70;0.00;0.00;0.00;0.00;23.00;0.00;10.00;23.00;0.00;0.00;6.49;86.82;14.44;94.29;21.92;104.26;16.56
2019;06;20;02;00;24.99;88.00;1011.60;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;6.16;83.29;14.47;95.71;20.62;106.22;16.20
2019;06;20;03;00;24.63;87.00;1011.50;0.00;0.30;0.00;0.00;78.00;0.00;78.00;78.00;0.00;0.00;5.45;82.41;12.86;107.93;20.04;107.78;13.32
2019;06;20;04;00;24.87;83.00;1010.50;0.20;0.00;0.00;0.00;80.00;41.00;80.00;80.00;0.00;0.00;4.83;26.57;6.38;73.61;20.53;87.99;10.80
2019;06;20;05;00;24.30;80.00;1011.00;0.00;0.00;0.00;0.00;30.00;100.00;0.00;0.00;0.00;0.00;7.92;360.00;8.40;30.96;27.50;75.60;9.00
2019;06;20;06;00;24.37;86.00;1011.60;0.00;0.00;0.00;0.00;23.40;78.00;0.00;0.00;21.94;17.80;7.20;360.00;8.85;26.57;28.20;75.96;18.72
2019;06;20;07;00;26.11;80.00;1011.90;0.00;0.00;0.00;0.00;13.50;45.00;0.00;0.00;45.06;187.79;11.37;10.95;12.29;5.04;11.30;52.77;14.40
2019;06;20;08;00;27.53;73.00;1011.80;0.00;0.00;0.00;0.00;3.60;12.00;0.00;0.00;51.38;391.60;12.64;19.98;13.85;8.97;15.19;53.67;14.76
2019;06;20;09;00;29.01;66.00;1011.80;0.00;0.00;0.00;0.00;2.10;7.00;0.00;0.00;57.70;580.28;11.75;27.35;12.18;18.97;15.70;53.39;15.12
2019;06;20;10;00;29.93;63.00;1011.70;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;58.66;715.56;8.71;51.71;8.40;46.74;12.56;62.70;14.76
2019;06;20;11;00;30.56;59.00;1011.50;0.00;0.00;0.00;0.00;10.00;10.00;0.00;10.00;53.62;784.09;7.95;84.81;8.35;82.57;10.95;80.54;18.36
2019;06;20;12;00;31.18;55.00;1011.40;0.00;0.00;0.00;0.00;10.00;27.00;0.00;10.00;53.62;829.48;10.81;91.91;12.25;91.68;15.12;90.00;19.80
2019;06;20;13;00;31.59;54.00;1011.10;0.00;0.00;0.00;0.00;10.00;24.00;0.00;10.00;53.62;824.14;12.25;88.32;14.80;85.82;16.62;85.03;23.04
2019;06;20;14;00;31.74;53.00;1010.10;0.00;0.00;0.00;0.00;10.50;35.00;0.00;10.00;53.62;768.07;11.57;84.64;14.56;81.47;16.39;81.16;19.08
2019;06;20;15;00;30.05;59.00;1009.70;0.00;0.00;0.00;0.00;30.00;100.00;10.00;13.00;53.30;231.40;10.44;90.00;15.19;84.56;17.46;81.70;17.28
2019;06;20;16;00;29.34;66.00;1009.10;0.00;0.00;0.00;0.00;67.00;100.00;67.00;67.00;40.85;139.73;6.95;111.25;14.21;98.75;19.44;88.94;20.52
2019;06;20;17;00;27.40;84.00;1009.80;0.30;0.00;0.00;0.00;84.00;93.00;84.00;84.00;17.23;79.21;6.85;176.99;12.40;154.18;21.52;107.53;10.08
2019;06;20;18;00;26.34;95.00;1010.90;1.50;0.00;0.00;0.00;100.00;100.00;100.00;100.00;6.38;54.29;8.56;202.25;13.01;194.42;19.64;138.72;14.40
2019;06;20;19;00;25.86;84.00;1011.10;2.00;0.00;0.00;0.00;65.00;67.00;65.00;65.00;0.00;3.56;0.51;45.00;1.80;53.13;25.74;69.54;14.40
2019;06;20;20;00;25.85;82.00;1011.20;0.00;0.00;0.00;0.00;5.40;18.00;5.00;5.00;0.00;0.00;1.30;56.31;3.32;77.47;31.32;90.00;5.40
2019;06;20;21;00;25.85;80.00;1011.30;0.00;0.00;0.00;0.00;32.00;24.00;2.00;32.00;0.00;0.00;5.04;360.00;5.12;39.29;32.76;90.63;13.32
2019;06;20;22;00;26.29;73.00;1011.80;0.00;0.00;0.00;0.00;30.00;100.00;0.00;10.00;0.00;0.00;5.76;360.00;6.92;38.66;29.52;90.00;18.36
2019;06;20;23;00;26.49;74.00;1011.70;0.00;0.00;0.00;0.00;30.00;100.00;0.00;10.00;0.00;0.00;4.32;360.00;6.70;53.75;25.21;99.87;15.84
2019;06;21;00;00;26.10;77.00;1011.70;0.00;0.00;0.00;0.00;79.00;78.00;79.00;79.00;0.00;0.00;3.76;16.70;8.37;64.54;25.23;104.04;13.68
2019;06;21;01;00;25.99;81.00;1011.80;0.70;0.00;0.00;0.00;100.00;18.00;88.00;100.00;0.00;0.00;4.21;19.98;8.09;57.72;30.68;94.04;12.24
2019;06;21;02;00;25.86;82.00;1011.60;0.00;0.00;0.00;0.00;100.00;100.00;10.00;100.00;0.00;0.00;3.60;360.00;4.51;28.61;30.60;90.00;10.08
2019;06;21;03;00;25.64;82.00;1011.00;0.00;0.00;0.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;4.69;4.40;5.50;31.61;25.33;84.29;14.04
2019;06;21;04;00;25.53;84.00;1010.60;0.00;0.00;0.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;5.05;4.09;6.29;23.63;21.22;75.26;14.76
2019;06;21;05;00;25.30;85.00;1011.40;0.00;0.00;0.00;0.00;100.00;100.00;10.00;100.00;0.00;0.00;5.35;19.65;7.15;40.91;20.32;82.87;13.32
2019;06;21;06;00;23.48;91.00;1012.50;1.40;0.20;0.00;0.00;100.00;100.00;100.00;100.00;0.00;0.89;6.49;33.69;9.39;32.47;26.48;78.23;13.68
2019;06;21;07;00;24.39;85.00;1012.40;0.50;0.00;0.00;0.00;75.00;79.00;75.00;75.00;0.00;71.20;10.48;15.95;11.30;9.16;13.90;53.43;12.24
2019;06;21;08;00;26.92;75.00;1012.40;0.00;0.00;0.00;0.00;50.00;60.00;50.00;0.00;12.13;291.92;12.98;19.44;14.15;7.31;17.71;52.43;15.84
